         3472141 function calls (3350888 primitive calls) in 10.198 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.129    0.129 /home/pi/.local/lib/python3.8/site-packages/mpl_toolkits/mplot3d/axes3d.py:1(<module>)
     1125    0.002    0.000    0.128    0.000 /usr/lib/python3.8/inspect.py:3103(signature)
       16    0.000    0.000    0.126    0.008 /home/pi/.local/lib/python3.8/site-packages/scipy/__init__.py:198(__getattr__)
     1125    0.002    0.000    0.126    0.000 /usr/lib/python3.8/inspect.py:2851(from_callable)
1598/1135    0.017    0.000    0.125    0.000 /usr/lib/python3.8/inspect.py:2218(_signature_from_callable)
        1    0.000    0.000    0.124    0.124 /home/pi/.local/lib/python3.8/site-packages/psutil/_common.py:5(<module>)
  759/288    0.006    0.000    0.123    0.000 /usr/lib/python3.8/sre_parse.py:435(_parse_sub)
     4487    0.006    0.000    0.123    0.000 <frozen importlib._bootstrap_external>:135(_path_stat)
  967/291    0.047    0.000    0.121    0.000 /usr/lib/python3.8/sre_parse.py:493(_parse)
      344    0.002    0.000    0.120    0.000 /home/pi/.local/lib/python3.8/site-packages/pkg_resources/_vendor/packaging/_parser.py:63(parse_requirement)
        1    0.002    0.002    0.120    0.120 /home/pi/.local/lib/python3.8/site-packages/torch/serialization.py:653(load)
  1025/61    0.030    0.000    0.119    0.002 /home/pi/.local/lib/python3.8/site-packages/torch/nn/modules/module.py:639(_apply)
        1    0.000    0.000    0.117    0.117 /home/pi/.local/lib/python3.8/site-packages/torch/serialization.py:1071(_load)
        1    0.021    0.021    0.117    0.117 {method 'load' of '_pickle.Unpickler' objects}
        1    0.007    0.007    0.117    0.117 /home/pi/.cache/torch/hub/ultralytics_yolov5_master/models/yolo.py:56(forward)
      145    0.002    0.000    0.116    0.001 <frozen importlib._bootstrap_external>:1164(create_module)
      213    0.037    0.000    0.116    0.001 /home/pi/.local/lib/python3.8/site-packages/matplotlib/artist.py:1521(get_setters)
        1    0.000    0.000    0.115    0.115 /home/pi/.local/lib/python3.8/site-packages/pandas/compat/numpy/__init__.py:1(<module>)
     5304    0.008    0.000    0.115    0.000 /usr/lib/python3.8/re.py:198(search)
      472    0.003    0.000    0.115    0.000 /home/pi/.local/lib/python3.8/site-packages/pkg_resources/__init__.py:2188(distributions_from_metadata)
        1    0.000    0.000    0.114    0.114 /home/pi/.local/lib/python3.8/site-packages/pandas/util/__init__.py:2(<module>)
      145    0.112    0.001    0.114    0.001 {built-in method _imp.create_dynamic}
        1    0.112    0.112    0.112    0.112 {built-in method torch._C._autograd._disable_profiler}
391624/390091    0.095    0.000    0.111    0.000 {built-in method builtins.isinstance}
        1    0.000    0.000    0.111    0.111 /home/pi/.local/lib/python3.8/site-packages/scipy/sparse/csgraph/__init__.py:1(<module>)
    18475    0.072    0.000    0.110    0.000 /usr/lib/python3.8/posixpath.py:71(join)
        9    0.000    0.000    0.105    0.012 /home/pi/.local/lib/python3.8/site-packages/matplotlib/axes/_base.py:734(__init_subclass__)
        4    0.000    0.000    0.103    0.026 /home/pi/.cache/torch/hub/ultralytics_yolov5_master/models/yolo.py:153(_apply)
        1    0.000    0.000    0.102    0.102 /home/pi/.local/lib/python3.8/site-packages/matplotlib/rcsetup.py:1(<module>)
      593    0.010    0.000    0.100    0.000 /usr/lib/python3.8/textwrap.py:414(dedent)
        1    0.000    0.000    0.099    0.099 /home/pi/.local/lib/python3.8/site-packages/scipy/sparse/csgraph/_laplacian.py:1(<module>)
        1    0.000    0.000    0.099    0.099 /home/pi/.local/lib/python3.8/site-packages/scipy/sparse/linalg/__init__.py:1(<module>)
        1    0.000    0.000    0.098    0.098 /home/pi/.local/lib/python3.8/site-packages/scipy/optimize/__init__.py:1(<module>)
        1    0.000    0.000    0.096    0.096 /home/pi/.local/lib/python3.8/site-packages/pandas/core/arrays/__init__.py:1(<module>)
        1    0.000    0.000    0.092    0.092 /home/pi/.local/lib/python3.8/site-packages/pandas/util/_decorators.py:1(<module>)
        1    0.000    0.000    0.091    0.091 /home/pi/.local/lib/python3.8/site-packages/pandas/_libs/__init__.py:2(<module>)
      344    0.004    0.000    0.088    0.000 /home/pi/.local/lib/python3.8/site-packages/pkg_resources/_vendor/packaging/_parser.py:67(_parse_requirement)
     3678    0.009    0.000    0.086    0.000 /usr/lib/python3.8/posixpath.py:372(abspath)
        1    0.000    0.000    0.084    0.084 /home/pi/.local/lib/python3.8/site-packages/pkg_resources/__init__.py:615(_build_master)
        1    0.000    0.000    0.084    0.084 /home/pi/.local/lib/python3.8/site-packages/pkg_resources/__init__.py:601(__init__)
     1113    0.029    0.000    0.084    0.000 /usr/lib/python3.8/inspect.py:2124(_signature_from_function)
      236    0.003    0.000    0.081    0.000 /home/pi/.local/lib/python3.8/site-packages/pkg_resources/__init__.py:2652(from_location)
        1    0.000    0.000    0.080    0.080 /home/pi/.local/lib/python3.8/site-packages/pandas/_libs/tslibs/__init__.py:2(<module>)
    13958    0.080    0.000    0.080    0.000 {method 'search' of 're.Pattern' objects}
      132    0.002    0.000    0.078    0.001 /home/pi/.local/lib/python3.8/site-packages/matplotlib/_docstring.py:38(__call__)
        1    0.000    0.000    0.078    0.078 /home/pi/.local/lib/python3.8/site-packages/scipy/sparse/linalg/_isolve/__init__.py:1(<module>)
     2817    0.027    0.000    0.078    0.000 /home/pi/.local/lib/python3.8/site-packages/pkg_resources/_vendor/packaging/markers.py:168(default_environment)
  122/111    0.001    0.000    0.077    0.001 /home/pi/.local/lib/python3.8/site-packages/matplotlib/_docstring.py:79(__call__)
        1    0.000    0.000    0.077    0.077 /home/pi/.local/lib/python3.8/site-packages/scipy/stats/_discrete_distns.py:5(<module>)
      288    0.001    0.000    0.074    0.000 /usr/lib/python3.8/sre_compile.py:598(_code)
       52    0.001    0.000    0.073    0.001 /home/pi/.local/lib/python3.8/site-packages/pkg_resources/__init__.py:3092(_parsed_pkg_info)
        2    0.000    0.000    0.073    0.037 /home/pi/.local/lib/python3.8/site-packages/torch/nn/modules/module.py:814(float)
     3025    0.023    0.000    0.073    0.000 /home/pi/.local/lib/python3.8/site-packages/pkg_resources/_vendor/packaging/markers.py:103(_eval_op)
   254038    0.073    0.000    0.073    0.000 {method 'get' of 'dict' objects}
       30    0.011    0.000    0.073    0.002 /home/pi/.local/lib/python3.8/site-packages/matplotlib/__init__.py:831(_rc_params_in_file)
        1    0.000    0.000    0.071    0.071 /home/pi/.local/lib/python3.8/site-packages/pandas/io/api.py:1(<module>)
