,ncalls,tottime,percall_tot,cumtime,percall_cum,filename:lineno(function)
197,       10,   0.000,   0.000,   0.001,   0.000,<__array_function__ internals>:177(expand_dims)
198,        6,   0.000,   0.000,   0.001,   0.000,/home/pi/.local/lib/python3.10/site-packages/pandas/io/formats/format.py:1489(<listcomp>)
199,       69,   0.000,   0.000,   0.001,   0.000,/home/pi/.local/lib/python3.10/site-packages/pandas/core/dtypes/missing.py:380(notna)
200,      120,   0.000,   0.000,   0.001,   0.000,/home/pi/.local/lib/python3.10/site-packages/pandas/io/formats/format.py:1999(is_number_with_decimal)
201,       11,   0.001,   0.000,   0.001,   0.000,{built-in method io.open}
202,       34,   0.000,   0.000,   0.001,   0.000,{method 'any' of 'numpy.ndarray' objects}
203,       19,   0.000,   0.000,   0.001,   0.000,<__array_function__ internals>:177(prod)
204,      181,   0.001,   0.000,   0.001,   0.000,{built-in method numpy.array}
205,       23,   0.001,   0.000,   0.001,   0.000,/home/pi/.local/lib/python3.10/site-packages/pandas/core/internals/managers.py:991(iget)
206,       39,   0.001,   0.000,   0.001,   0.000,{pandas._libs.lib.infer_dtype}
207,      232,   0.001,   0.000,   0.001,   0.000,/home/pi/.local/lib/python3.10/site-packages/pandas/core/construction.py:673(_sanitize_ndim)
208,       10,   0.000,   0.000,   0.001,   0.000,<__array_function__ internals>:177(argpartition)
209,       36,   0.001,   0.000,   0.001,   0.000,{built-in method posix.stat}
210,        2,   0.000,   0.000,   0.001,   0.001,/home/pi/.local/lib/python3.10/site-packages/pandas/core/generic.py:6337(dtypes)
211,       10,   0.000,   0.000,   0.001,   0.000,/home/pi/.local/lib/python3.10/site-packages/pandas/core/series.py:1139(_get_value)
212,       35,   0.000,   0.000,   0.001,   0.000,<frozen importlib._bootstrap_external>:140(_path_stat)
213,        1,   0.000,   0.000,   0.001,   0.001,/home/pi/.local/lib/python3.10/site-packages/pandas/core/reshape/concat.py:695(new_axes)
214,       46,   0.001,   0.000,   0.001,   0.000,/home/pi/.local/lib/python3.10/site-packages/pandas/core/indexes/base.py:5299(__contains__)
215,        5,   0.000,   0.000,   0.001,   0.000,/home/pi/.local/lib/python3.10/site-packages/pandas/io/formats/format.py:434(adjoin)
